Shijiazhuang Daguocun International Airport,SJW,81.0
Cleveland Hopkins International Airport,CLE,81.0
King Fahd International Airport,DMM,81.0
Tashkent International Airport,TAS,81.0
Leeds Bradford Airport,LBA,80.0
Gimhae International Airport,PUS,80.0
Beijing Nanyuan Airport,NAY,80.0
New Chitose Airport,CTS,79.0
Macau International Airport,MFM,79.0
Naples International Airport,NAP,79.0
William P Hobby Airport,HOU,79.0
Comodoro Arturo Merino Benítez International Airport,SCL,79.0
Toulouse-Blagnac Airport,TLS,78.0
Hefei Luogang International Airport,HFE,77.0
Pisa International Airport,PSA,76.0
Juan Santamaria International Airport,SJO,76.0
Hannover Airport,HAJ,76.0
Cincinnati Northern Kentucky International Airport,CVG,75.0
Ministro Pistarini International Airport,EZE,75.0
Pittsburgh International Airport,PIT,74.0
Hazrat Shahjalal International Airport,DAC,74.0
Punta Cana International Airport,PUJ,73.0
Menara Airport,RAK,73.0
General Mariano Escobedo International Airport,MTY,72.0
Phuket International Airport,HKT,71.0
Luxembourg-Findel International Airport,LUX,70.0
Indianapolis International Airport,IND,69.0
Eindhoven Airport,EIN,68.0
San Antonio International Airport,SAT,68.0
Edmonton International Airport,YEG,68.0
Bergen Airport Flesland,BGO,68.0
Almaty Airport,ALA,67.0
Léopold Sédar Senghor International Airport,DKR,67.0
Beirut Rafic Hariri International Airport,BEY,67.0
Don Mueang International Airport,DMK,67.0
Bordeaux-Mérignac Airport,BOD,67.0
Sofia Airport,SOF,66.0
Adnan Menderes International Airport,ADB,66.0
Bilbao Airport,BIO,65.0
Sevilla Airport,SVQ,65.0
Juanda International Airport,SUB,65.0
Kaohsiung International Airport,KHH,65.0
General Mitchell International Airport,MKE,65.0
Lijiang Airport,LJG,65.0
Yinchuan Airport,,65.0
Jorge Newbery Airpark,AEP,65.0
Longjia Airport,CGQ,64.0
Heydar Aliyev International Airport,GYD,64.0
Lynden Pindling International Airport,NAS,64.0
John Glenn Columbus International Airport,CMH,63.0
Southwest Florida International Airport,RSW,63.0
Mashhad International Airport,MHD,63.0
Falcone–Borsellino Airport,PMO,63.0
London City Airport,LCY,62.0
Jinnah International Airport,KHI,62.0
Naha Airport,OKA,60.0
Dubrovnik Airport,DBV,60.0
Milano Linate Airport,LIN,60.0
Zhuhai Jinwan Airport,ZUH,60.0
Paris Beauvais Tillé Airport,BVA,60.0
Imam Khomeini International Airport,IKA,60.0
Norman Y. Mineta San Jose International Airport,SJC,60.0
Murtala Muhammed International Airport,LOS,59.0
Jeju International Airport,CJU,59.0
Ted Stevens Anchorage International Airport,ANC,59.0
Memphis International Airport,MEM,58.0
Benazir Bhutto International Airport,,58.0
Princess Juliana International Airport,SXM,58.0
Vilnius International Airport,VNO,58.0
Liverpool John Lennon Airport,LPL,58.0
Mehrabad International Airport,THR,58.0
Deputado Luiz Eduardo Magalhães International Airport,SSA,58.0
Viracopos International Airport,VCP,57.0
Cochin International Airport,COK,57.0
Kraków John Paul II International Airport,KRK,57.0
Dalaman International Airport,DLM,57.0
Cairns International Airport,CNS,56.0
Alama Iqbal International Airport,LHE,56.0
Yantai Laishan Airport,YNT,56.0
Sacramento International Airport,SMF,55.0
Tancredo Neves International Airport,CNF,55.0
Stavanger Airport Sola,SVG,54.0
Minsk National Airport,MSQ,54.0
Metropolitan Oakland International Airport,OAK,54.0
Kotoka International Airport,ACC,54.0
Hasanuddin International Airport,UPG,53.0
Peretola Airport,FLR,53.0
Monseñor Óscar Arnulfo Romero International Airport,SAL,53.0
Astana International Airport,TSE,52.0
Dushanbe Airport,DYU,52.0
Gothenburg-Landvetter Airport,GOT,52.0
Kota Kinabalu International Airport,BKI,52.0
Madeira Airport,FNC,52.0
Olbia Costa Smeralda Airport,OLB,52.0
Douala International Airport,DLA,51.0
Gdańsk Lech Wałęsa Airport,GDN,51.0
Esenboğa International Airport,ESB,51.0
Bradley International Airport,BDL,51.0
Los Cabos International Airport,SJD,51.0
Adelaide International Airport,ADL,51.0
Port Bouet Airport,ABJ,50.0
Ioannis Kapodistrias International Airport,CFU,50.0
Bari Karol Wojtyła Airport,BRI,50.0
Ciampino–G. B. Pastine International Airport,CIA,50.0
Bremen Airport,BRE,50.0
Girona Airport,GRO,49.0
Xining Caojiabu Airport,XNN,49.0
Split Airport,SPU,49.0
Mactan Cebu International Airport,CEB,49.0
Orlando Sanford International Airport,SFB,49.0
Yangon International Airport,RGN,49.0
Nuremberg Airport,NUE,48.0
Chiang Mai International Airport,CNX,48.0
Port Moresby Jacksons International Airport,POM,48.0
Al Maktoum International Airport,DWC,48.0
Tripoli International Airport,TIP,47.0
Frankfurt-Hahn Airport,HHN,47.0
Billund Airport,BLL,47.0
Licenciado Gustavo Díaz Ordaz International Airport,PVR,47.0
Sunan Shuofang International Airport,WUX,47.0
Congonhas Airport,CGH,47.0
Quatro de Fevereiro Airport,LAD,46.0
Darwin International Airport,DRW,46.0
Krasnodar Pashkovsky International Airport,KRR,46.0
Jacksonville International Airport,JAX,46.0
Zvartnots International Airport,EVN,45.0
Manas International Airport,FRU,45.0
Las Américas International Airport,SDQ,45.0
Enfidha - Hammamet International Airport,NBE,45.0
José Martí International Airport,HAV,45.0
Ottawa Macdonald-Cartier International Airport,YOW,45.0
Sangster International Airport,MBJ,45.0
Keflavik International Airport,KEF,45.0
Palm Beach International Airport,PBI,44.0
Chania International Airport,CHQ,44.0
Turin Airport,TRN,44.0
Trondheim Airport Værnes,TRD,44.0
Queen Beatrix International Airport,AUA,44.0
Quanzhou Jinjiang International Airport,JJN,44.0
Afonso Pena Airport,CWB,43.0
Yemelyanovo Airport,KJA,43.0
Nadi International Airport,NAN,43.0
Halifax / Stanfield International Airport,YHZ,43.0
Malé International Airport,MLE,43.0
Cape Town International Airport,CPT,43.0
Tribhuvan International Airport,KTM,43.0
Kos Airport,KGS,43.0
Cagliari Elmas Airport,CAG,43.0
Paphos International Airport,PFO,42.0
Zagreb Airport,ZAG,42.0
Siem Reap International Airport,REP,42.0
Penang International Airport,PEN,42.0
Osaka International Airport,ITM,42.0
General Abelardo L. Rodríguez International Airport,TIJ,42.0
Trivandrum International Airport,TRV,42.0
Albuquerque International Sunport,ABQ,42.0
Salgado Filho Airport,POA,42.0
Kahului Airport,OGG,42.0
John Wayne Airport-Orange County Airport,SNA,42.0
Borg El Arab International Airport,HBE,41.0
Aberdeen Dyce Airport,ABZ,41.0
Sir Seewoosagur Ramgoolam International Airport,MRU,41.0
Louisville International Standiford Field,SDF,41.0
Winnipeg / James Armstrong Richardson International Airport,YWG,41.0
Cadjehoun Airport,COO,41.0
Khartoum International Airport,KRT,41.0
Lille-Lesquin Airport,LIL,40.0
Kigali International Airport,KGL,40.0
Leipzig/Halle Airport,LEJ,40.0
Taipei Songshan Airport,TSA,40.0
Will Rogers World Airport,OKC,40.0
Hurghada International Airport,HRG,40.0
Ajaccio-Napoléon Bonaparte Airport,AJA,39.0
Prince Mohammad Bin Abdulaziz Airport,MED,39.0
Irkutsk Airport,IKT,39.0
Dallas Love Field,DAL,39.0
Verona Villafranca Airport,VRN,39.0
Gimpo International Airport,GMP,39.0
Lennart Meri Tallinn Airport,TLL,38.0
Treviso-Sant'Angelo Airport,TSF,38.0
Richmond International Airport,RIC,38.0
Jersey Airport,JER,38.0
Weeze Airport,NRN,38.0
Sharm El Sheikh International Airport,SSH,38.0
Mariscal Sucre International Airport,UIO,38.0
"Sandefjord Airport, Torp",TRF,37.0
"Moss Airport, Rygge",RYG,37.0
Sana'a International Airport,SAH,37.0
La Aurora Airport,GUA,37.0
Changzhou Benniu Airport,CZX,37.0
Faa'a International Airport,PPT,37.0
Birmingham-Shuttlesworth International Airport,BHM,36.0
Belfast International Airport,BFS,36.0
Sultan Aji Muhamad Sulaiman Airport,BPN,36.0
Santiago de Compostela Airport,SCQ,36.0
Bastia-Poretta Airport,BIA,36.0
Djerba Zarzis International Airport,DJE,36.0
Tirana International Airport Mother Teresa,TIA,36.0
Guararapes - Gilberto Freyre International Airport,REC,36.0
Buffalo Niagara International Airport,BUF,36.0
Norfolk International Airport,ORF,36.0
Antonio B. Won Pat International Airport,GUM,35.0
V.C. Bird International Airport,ANU,35.0
Piarco International Airport,POS,35.0
José Joaquín de Olmedo International Airport,GYE,35.0
Jieyang Chaoshan International Airport,SWA,35.0
Khabarovsk-Novy Airport,KHV,35.0
Julius Nyerere International Airport,DAR,35.0
Val de Cans/Júlio Cezar Ribeiro International Airport,BEL,35.0
Pinto Martins International Airport,FOR,35.0
Shiraz Shahid Dastghaib International Airport,SYZ,35.0
Kenneth Kaunda International Airport Lusaka,LUN,34.0
Menorca Airport,MAH,34.0
Salzburg Airport,SZG,34.0
Cyril E. King Airport,STT,34.0
Charleston Air Force Base-International Airport,CHS,34.0
Eppley Airfield,OMA,34.0
Christchurch International Airport,CHC,34.0
Chişinău International Airport,KIV,34.0
Tbilisi International Airport,TBS,34.0
Strasbourg Airport,SXB,34.0
Cork Airport,ORK,34.0
Myrtle Beach International Airport,MYR,34.0
Ljubljana Jože Pučnik Airport,LJU,33.0
Da Nang International Airport,DAD,33.0
Southampton Airport,SOU,33.0
Entebbe International Airport,EBB,33.0
Es Senia Airport,ORN,33.0
Ouagadougou Airport,OUA,33.0
Copernicus Wrocław Airport,WRO,33.0
Marechal Rondon Airport,CGB,33.0
Yakutsk Airport,YKS,33.0
Khudzhand Airport,LBD,33.0
Dortmund Airport,DTM,33.0
Rotterdam The Hague Airport,RTM,33.0
Cardiff International Airport,CWL,32.0
Phoenix-Mesa-Gateway Airport,AZA,32.0
Eduardo Gomes International Airport,MAO,32.0
Sardar Vallabhbhai Patel International Airport,AMD,32.0
Tenerife Norte Airport,TFN,32.0
James M Cox Dayton International Airport,DAY,32.0
Wellington International Airport,WLG,32.0
Calicut International Airport,CCJ,31.0
Albany International Airport,ALB,31.0
Tucson International Airport,TUS,31.0
St Petersburg Clearwater International Airport,PIE,31.0
Providenciales Airport,PLS,31.0
Osh Airport,OSS,31.0
Hato International Airport,CUR,31.0
Sendai Airport,SDJ,31.0
Milas Bodrum International Airport,BJV,31.0
Stockholm Skavsta Airport,NYO,31.0
Alghero-Fertilia Airport,AHO,31.0
McGhee Tyson Airport,TYS,31.0
Lokpriya Gopinath Bordoloi International Airport,GAU,31.0
Norman Manley International Airport,KIN,30.0
Greater Rochester International Airport,ROC,30.0
Peshawar International Airport,PEW,30.0
Lhasa Gonggar Airport,LXA,30.0
Alfonso Bonilla Aragon International Airport,CLO,30.0
Erbil International Airport,EBL,30.0
Yellowknife Airport,YZF,30.0
Santos Dumont Airport,SDU,30.0
Pointe-à-Pitre Le Raizet,PTP,29.0
Taichung Ching Chuang Kang Airport,RMQ,29.0
Phnom Penh International Airport,PNH,29.0
Bill & Hillary Clinton National Airport/Adams Field,LIT,29.0
Des Moines International Airport,DSM,29.0
Sultan Abdul Aziz Shah International Airport,SZB,29.0
Adi Sutjipto International Airport,JOG,29.0
Greenville Spartanburg International Airport,GSP,29.0
Baotou Airport,BAV,29.0
Yuncheng Guangong Airport,YCU,29.0
Shannon Airport,SNN,29.0
Al Massira Airport,AGA,28.0
Vincenzo Florio Airport Trapani-Birgi,TPS,28.0
Katowice International Airport,KTW,28.0
Bauerfield International Airport,VLI,28.0
Gold Coast Airport,OOL,28.0
Platov International Airport,ROV,28.0
Kazan International Airport,KZN,28.0
Hamid Karzai International Airport,KBL,28.0
Quebec Jean Lesage International Airport,YQB,28.0
Modibo Keita International Airport,BKO,28.0
Nnamdi Azikiwe International Airport,ABV,28.0
Gerald R. Ford International Airport,GRR,28.0
Pune Airport,PNQ,28.0
Kurumoch International Airport,KUF,27.0
Reno Tahoe International Airport,RNO,27.0
Tulsa International Airport,TUL,27.0
Ivato Airport,TNR,27.0
Dabolim Airport,GOI,27.0
