name,icao,score
Liverpool John Lennon Airport,EGGP,1.6866082384121692
Manas International Airport,UAFM,1.683698952636462
Milano Linate Airport,LIML,1.681879615385603
La Aurora Airport,MGGT,1.6782313255989982
Krasnodar Pashkovsky International Airport,URKK,1.6747010883064612
Minsk National Airport,UMMS,1.672790058581996
Dubrovnik Airport,LDDU,1.6702767403559227
Bodø Airport,ENBO,1.6702624556629107
Gold Coast Airport,YBCG,1.6588166922541234
Gimpo International Airport,RKSS,1.6569561285584915
Yinchuan Airport,ZLIC,1.6542703420936498
Chinggis Khaan International Airport,ZMUB,1.636439553052565
Longjia Airport,ZYCC,1.6157767883186478
Sam Ratulangi Airport,WAMM,1.6121076599186603
Bradley International Airport,KBDL,1.6109094745753636
Aberdeen Dyce Airport,EGPD,1.6003902825931817
Al Maktoum International Airport,OMDW,1.598074103284128
Albuquerque International Sunport,KABQ,1.5980348994162488
Licenciado Gustavo Díaz Ordaz International Airport,MMPR,1.5897189537576568
Sultan Abdul Aziz Shah International Airport,WMSA,1.588023251931795
Lokpriya Gopinath Bordoloi International Airport,VEGT,1.5730283485134906
Zvartnots International Airport,UDYZ,1.5709388889910105
Kraków John Paul II International Airport,EPKK,1.5690547890094526
Lijiang Airport,ZPLJ,1.5653394554884883
Keflavik International Airport,BIKF,1.5634222902696329
Dalaman International Airport,LTBS,1.5597386035432679
Reykjavik Airport,BIRK,1.5595147771719315
Trivandrum International Airport,VOTV,1.5523215506879264
Providenciales Airport,MBPV,1.541862078354499
Unalakleet Airport,PAUN,1.5289081873928523
Girona Airport,LEGE,1.5285447001370358
Hang Nadim International Airport,WIDD,1.5265708946974172
Gdańsk Lech Wałęsa Airport,EPGD,1.5254591442494723
Kirkwall Airport,EGPA,1.5242108319570173
Antonio B. Won Pat International Airport,PGUM,1.515776104507406
Teniente Av. Jorge Henrich Arauz Airport,SLTR,1.5041960741350393
Siem Reap International Airport,VDSR,1.5014540254695574
Pampulha - Carlos Drummond de Andrade Airport,SBBH,1.4954316429298282
Lennart Meri Tallinn Airport,EETN,1.4939197494538075
Wabush Airport,CYWK,1.4885863480608135
Hosea Kutako International Airport,FYWH,1.486946613111661
Boeing Field King County International Airport,KBFI,1.4857498732483483
John Wayne Airport-Orange County Airport,KSNA,1.485051385658404
Xining Caojiabu Airport,ZLXN,1.4830268206866564
Mount Hagen Kagamuga Airport,AYMH,1.480012782751877
Fort Yukon Airport,PFYU,1.4784855990889005
Wiley Post Will Rogers Memorial Airport,PABR,1.4765010711187847
Hercílio Luz International Airport,SBFL,1.4732133160599634
Es Senia Airport,DAOO,1.472506440683151
Billings Logan International Airport,KBIL,1.470940506044878
